Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Wanmer Ramirez","DET","DSL","18-19",0,5,4.623287188042712,13,13,0,0,0,0,,48.2,222,54,32,25,3,18,0,8,9,2,35,"sa3018904"
"Kevin Valdez","CHC","A,CPX,DSL","20-21",2,3,2.6068962088096606,17,12,0,0,0,1,,48.1,209,22,26,14,0,32,0,9,20,2,64,"sa3019052"
"Ledwin Taveras","MIN","DSL","17-18",4,4,4.925676183512526,12,8,0,0,0,0,,49.1,213,45,33,27,3,14,0,7,3,2,51,"sa3019065"
"Emmanuel Reyes","KCR","CPX,DSL","18-19",2,1,0.9364160985066318,14,12,0,0,0,0,,57.2,216,34,13,6,1,5,0,2,5,0,60,"sa3019071"
"Aldrin Batista","LAD","CPX,DSL","19-20",2,1,1.521126494949711,15,12,0,0,0,0,,47.1,204,29,19,8,1,26,0,9,7,2,47,"sa3019119"
"David Lorduy","CIN","DSL","18-19",1,2,4.3282437706583305,14,9,0,0,0,0,,43.2,199,52,29,21,4,19,0,2,4,5,47,"sa3019135"
"Sadiel Baro","LAA","DSL","17-18",4,3,4.2631578947368425,13,10,0,0,1,0,,57,253,58,40,27,3,21,0,2,6,0,64,"sa3019136"
"Nelfy Ynfante","STL","DSL","17-18",4,0,3.0000001192092944,13,10,0,0,0,0,,48,207,38,23,16,2,23,0,5,2,1,49,"sa3019149"
"Osbriel Mogollon","MIL","CPX,DSL","18-19",2,3,2.6470588235294117,13,11,0,0,0,0,,51,203,25,16,15,1,27,0,5,9,1,60,"sa3019150"
"Luis Gonzalez","PHI","DSL","16-17",4,5,3.4363636363636365,12,12,0,0,0,0,,55,224,55,25,21,2,6,0,5,1,2,33,"sa3019164"
"Juan De La Cruz","MIA","CPX,DSL","17-18",4,3,3.78,13,11,0,0,0,0,,50,216,42,27,21,3,24,0,4,3,0,36,"sa3019171"
"Gerlin Rosario","TBR","CPX,DSL","20-21",1,2,2.1724137931034484,14,7,0,0,0,0,,58,224,49,14,14,2,6,0,0,2,1,41,"sa3019251"
"Jose Fleury","HOU","A,DSL","20-21",3,3,2.596153693791686,22,10,0,0,2,0,,86.2,340,58,28,25,6,28,0,1,10,6,122,"sa3019255"
"Luis Cohen","BOS","CPX,DSL","19-20",0,1,3.197368100079175,14,13,0,0,0,0,,50.2,207,40,19,18,0,16,0,4,1,0,46,"sa3019269"
"Eric Dominguez","ARI","CPX,DSL","19-20",5,2,2.643357101702421,13,8,0,0,0,1,,47.2,196,30,17,14,1,27,0,3,10,0,47,"sa3019284"
"Jhancarlos Lara","ATL","A,DSL","19-20",3,4,3.15,19,13,0,0,0,0,,60,269,42,27,21,1,46,0,2,16,6,78,"sa3019367"
"Cesar Jimenez","ARI","DSL","16-17",3,2,3.1875001187436327,13,9,0,0,0,0,,48,200,48,17,17,4,16,0,5,6,0,39,"sa3019381"
